indev,Date,fall,thermap_presence,daysBack,lat,lon,mig_ang,datetime_utc,datetime,t2m,sst,blh,cbh,cape,cin,msshf,tcc,msl,u850,u925,v850,v925,t850,t925,sstdiff,windDir850,windSpeed850,windDir925,windSpeed925,GPCC,time_point,tw,sw
161152,2018-10-27,1,1,1,37.5322189331055,33.6069526672363,-1.20011816759151,2018-10-28 06:27:33,2018-10-28 06:00:00,5.33479948971842,NaN,47.4145387053723,NaN,-4.54747350886464e-13,NaN,-10.96646041373,0,1028.88147995094,-2.37444134828742,0.236391801740824,0.222354624117245,-0.392561962553843,10.1483631045961,10.6164130159957,NaN,275.349862874926,2.38482982523351,148.944614371059,0.458242270392418,0,1,0.451532265715585,0.184831891811048
161152,2018-10-27,1,1,0,37.5322189331055,33.6069526672363,-1.20011816759151,2018-10-27 06:27:33,2018-10-27 06:00:00,4.12164403637655,NaN,89.7265905700524,NaN,-4.54747350886464e-13,NaN,-15.8651146163359,0,1028.09580548159,-2.91244991308835,0.597464471425581,-1.36828134140418,-0.847445052693812,2.77657700005238,5.67577008963696,NaN,244.835662637132,3.21784995384856,144.815453908124,1.03688326823759,0,1,1.00631827340766,0.485459086670143
161152,2018-10-27,1,1,-1,37.5322189331055,33.6069526672363,-1.20011816759151,2018-10-26 06:27:33,2018-10-26 06:00:00,5.48985626233275,NaN,830.477306776364,612.192516405896,-4.54747350886464e-13,NaN,-29.9042122288043,0.214533135977294,1018.2815897811,1.79383915758903,1.59941541237417,-10.0867122524238,-4.68048976960886,-0.736931598244155,4.68847730777844,NaN,169.915845709556,10.2449803799956,161.133693153146,4.94622220939913,0,1,4.94198420865212,0.994464000343051
161152,2018-10-27,1,1,-2,37.5322189331055,33.6069526672363,-1.20011816759151,2018-10-25 06:27:33,2018-10-25 06:00:00,14.6655045741525,NaN,851.509129033954,275.497924125024,67.2692536584618,NaN,-11.1334599888188,0.743198083408359,999.222268732928,2.27938417209389,0.661243689432575,12.233595963762,5.8778414015291,10.9173022447526,15.6719789116713,NaN,10.5544215938624,12.4441336543998,6.418657085869,5.91491866033202,11.21,1,-5.23909562252991,1.39950317758274
161152,2018-10-27,1,1,-3,37.5322189331055,33.6069526672363,-1.20011816759151,2018-10-24 06:27:33,2018-10-24 06:00:00,13.7329800402605,NaN,50.5610317990277,2080.25557548278,7.34207193322436,NaN,-10.6547278735642,0.49433110036165,1010.11762622457,2.05821430319867,-0.219320997889795,5.35506531286077,0.501685818062471,14.204099167215,18.1699863629133,NaN,21.0242168150499,5.73698271070222,336.386589221345,0.547531149945267,4.72,1,-0.547060778135675,0.154093602948411
170521,2020-10-23,1,0,1,36.6807289123535,35.2140235900879,-1.30835358877641,2020-10-24 03:18:59,2020-10-24 03:00:00,20.4999987479658,NaN,83.2703898932095,NaN,-9.09494701772928e-13,NaN,30.745564894756,0.0473044115178612,1014.20707447011,-4.76541035990232,-2.74360323169832,-0.402369509698954,-4.43537412351828,19.4855925226991,25.9277357149551,NaN,265.173653612214,4.78236731343377,211.739821399895,5.21535255841453,0,1,3.57170141373396,3.28265495032856
170521,2020-10-23,1,0,0,36.6807289123535,35.2140235900879,-1.30835358877641,2020-10-23 03:18:59,2020-10-23 03:00:00,21.0179611472658,NaN,101.917274356523,NaN,4.25676758274403,NaN,12.7495205965232,0.00250255596417071,1016.34729084965,-3.06508040622075,-4.85398060186258,3.68289866283077,-3.25835522839444,18.5722397767748,23.2382602311362,NaN,320.231190505911,4.79149876941224,236.127530367028,5.84619589798902,0,1,1.88746749564545,5.22717980429497
170521,2020-10-23,1,0,-1,36.6807289123535,35.2140235900879,-1.30835358877641,2020-10-22 03:18:59,2020-10-22 03:00:00,23.794495391415,NaN,59.3987745174695,NaN,2539.6686211527,506.111544564904,4.79856138572956,0.0174873727740222,1017.25174387332,0.20764470719979,0.312616845819359,0.0538478048772602,-1.35291298374438,15.8751291602836,21.7140968714277,NaN,75.4619273301084,0.214513194275284,166.989053248242,1.38856142603566,0,1,1.38769349181226,0.138956070116154
170521,2020-10-23,1,0,-2,36.6807289123535,35.2140235900879,-1.30835358877641,2020-10-21 03:18:59,2020-10-21 03:00:00,21.0972541565414,NaN,146.237405544689,NaN,243.649268307569,NaN,8.62846004783015,0.129827720385149,1015.90352847039,-0.299720629461463,-0.821300943227449,1.3963679692507,-3.94975855716746,16.6586846507788,21.67210364173,NaN,347.885671355614,1.42817224496001,191.74652355913,4.03424440252,0.09,1,3.60143666734943,1.31436388159953
170521,2020-10-23,1,0,-3,36.6807289123535,35.2140235900879,-1.30835358877641,2020-10-20 03:18:59,2020-10-20 03:00:00,21.1253903856392,NaN,76.0638644967598,976.581142671942,2229.3299940488,232.93613319834,4.27223028304323,0.687653548593838,1016.36905576198,4.78158695559207,-2.12142461842191,-0.462254837387956,-0.347928302708953,16.0516916033306,20.2176108676562,NaN,95.5218491325282,4.80387898979323,260.686015382669,2.14976661883854,0,1,-0.214368364444235,2.14839564002902
170541,2018-10-23,1,0,1,36.6908340454102,35.588451385498,-1.42698271470989,2018-10-24 04:06:18,2018-10-24 04:00:00,22.0929423722005,NaN,182.879346632214,3198.97726264262,721.209741656875,297.437970918686,8.50569004162861,0.994994888071659,1008.51689843285,-2.26848555063064,-3.47103241918186,2.6160677722312,2.47543227527961,14.5728974232954,19.7538338309531,NaN,319.07027632956,3.46263444249125,305.495283419744,4.26331221053625,22.19,1,-2.94734026025053,3.12999368884881
